"Date,SKU,Category,Our_Price,Comp_Price,Promotion_Flag,Discount_Depth,Units_Sold,Month"
"2024-01-01,ELEC-004,Electronics,344.07,348.71,0,0.0,13,1"
"2024-01-01,ELEC-003,Electronics,259.0,258.18,0,0.0,15,1"
"2024-01-01,APRL-005,Apparel,58.4,65.05,1,0.16,37,1"
"2024-01-01,APRL-004,Apparel,51.23,41.37,1,0.28,50,1"
"2024-01-01,HOME-004,Home_Goods,93.21,87.87,1,0.32,30,1"
"2024-01-01,HOME-004,Home_Goods,81.77,72.7,0,0.0,15,1"
"2024-01-01,HOME-002,Home_Goods,92.47,101.78,0,0.0,18,1"
"2024-01-01,TOYS-002,Toys,31.76,30.57,1,0.27,16,1"
"2024-01-01,TOYS-001,Toys,25.38,28.63,0,0.0,18,1"
"2024-01-01,SPRT-004,Sports,76.39,85.79,0,0.0,31,1"
"2024-01-01,SPRT-004,Sports,92.92,101.35,1,0.17,26,1"
"2024-01-01,SPRT-005,Sports,84.55,79.97,0,0.0,17,1"
"2024-01-01,BETY-004,Beauty,35.64,28.46,0,0.0,19,1"
"2024-01-01,BETY-001,Beauty,39.08,33.06,1,0.39,55,1"
"2024-01-01,BETY-003,Beauty,39.35,41.47,0,0.0,26,1"
"2024-01-01,BOOK-001,Books,20.23,16.85,1,0.21,28,1"
"2024-01-01,BOOK-003,Books,19.91,15.41,0,0.0,18,1"
"2024-01-01,BOOK-003,Books,21.61,22.83,0,0.0,22,1"
"2024-01-01,GROC-002,Grocery,8.2,0.36,1,0.32,153,1"
"2024-01-01,GROC-004,Grocery,15.26,10.25,0,0.0,30,1"
"2024-01-01,FURN-005,Furniture,335.55,331.34,1,0.43,31,1"
"2024-01-01,FURN-001,Furniture,339.82,338.95,1,0.25,19,1"
"2024-01-01,FURN-002,Furniture,342.31,339.44,0,0.0,8,1"
"2024-01-01,GARD-001,Garden,62.95,70.16,1,0.28,29,1"
"2024-01-01,GARD-005,Garden,59.81,55.2,1,0.16,16,1"
"2024-01-02,ELEC-001,Electronics,289.38,280.68,0,0.0,13,1"
"2024-01-02,ELEC-002,Electronics,320.23,313.19,0,0.0,11,1"
"2024-01-02,ELEC-002,Electronics,299.27,290.3,0,0.0,15,1"
"2024-01-02,APRL-002,Apparel,49.62,48.57,0,0.0,27,1"
"2024-01-02,APRL-003,Apparel,46.39,41.24,0,0.0,29,1"
"2024-01-02,HOME-003,Home_Goods,88.49,94.46,1,0.28,43,1"
"2024-01-02,HOME-003,Home_Goods,81.73,85.28,1,0.28,42,1"
"2024-01-02,HOME-004,Home_Goods,92.22,90.17,0,0.0,16,1"
"2024-01-02,TOYS-004,Toys,32.53,26.71,0,0.0,10,1"
"2024-01-02,TOYS-004,Toys,24.12,33.77,0,0.0,18,1"
"2024-01-02,SPRT-004,Sports,91.33,98.98,1,0.2,35,1"
"2024-01-02,SPRT-003,Sports,103.25,101.34,0,0.0,14,1"
"2024-01-02,BETY-004,Beauty,40.98,43.11,1,0.14,34,1"
"2024-01-02,BETY-005,Beauty,31.76,27.87,0,0.0,26,1"
"2024-01-02,BOOK-001,Books,15.76,6.12,0,0.0,24,1"
"2024-01-02,BOOK-003,Books,20.58,21.94,1,0.23,38,1"
"2024-01-02,GROC-005,Grocery,11.89,20.02,0,0.0,52,1"
"2024-01-02,GROC-001,Grocery,12.62,12.47,1,0.35,86,1"
"2024-01-02,GROC-003,Grocery,14.15,5.02,0,0.0,31,1"
"2024-01-02,FURN-005,Furniture,456.52,461.48,0,0.0,7,1"
"2024-01-02,FURN-005,Furniture,409.84,419.45,1,0.21,14,1"
"2024-01-02,FURN-001,Furniture,371.54,364.93,0,0.0,9,1"
"2024-01-02,GARD-003,Garden,56.75,48.7,0,0.0,15,1"
"2024-01-02,GARD-002,Garden,48.85,44.76,0,0.0,18,1"
"2024-01-02,GARD-001,Garden,60.06,57.25,0,0.0,13,1"
"2024-01-03,ELEC-002,Electronics,335.71,343.97,0,0.0,15,1"
"2024-01-03,ELEC-005,Electronics,268.43,259.85,0,0.0,14,1"
